"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Apr 02 17:34:23 CST 2022","Sat Apr 02 17:34:24 CST 2022","798","main","testmain","TestMain","","","输入错误请求方式查询失败（POST）",""
"passed","Sat Apr 02 17:33:59 CST 2022","Sat Apr 02 17:34:00 CST 2022","800","main","testmain","TestMain","","","输入错误请求方式查询失败PUT",""
"passed","Sat Apr 02 17:34:12 CST 2022","Sat Apr 02 17:34:12 CST 2022","784","main","testmain","TestMain","","","输入错误请求方式PUT获取首页广告栏位数据失败",""
"passed","Sat Apr 02 17:43:49 CST 2022","Sat Apr 02 17:43:50 CST 2022","809","main","testmain","TestMain","","","参数为空获取验证码失败",""
"passed","Sat Apr 02 17:34:31 CST 2022","Sat Apr 02 17:34:32 CST 2022","794","main","testmain","TestMain","","","错误的参数请求方式查询路由失败multipart/form-data",""
"passed","Sat Apr 02 17:49:45 CST 2022","Sat Apr 02 17:49:46 CST 2022","782","main","testmain","TestMain","","","PageNo为空查询失败",""
"passed","Sat Apr 02 17:43:48 CST 2022","Sat Apr 02 17:43:49 CST 2022","796","main","testmain","TestMain","","","错误的请求方式PUT获取验证码失败",""
"passed","Sat Apr 02 17:40:20 CST 2022","Sat Apr 02 17:40:23 CST 2022","3152","main","testmain","TestMain","","","参数类型错误提交订单失败
application/x-www-form-urlencoded",""
"failed","Sat Apr 02 17:38:07 CST 2022","Sat Apr 02 17:38:08 CST 2022","1562","main","testmain","TestMain","","","输入不存在的TYPE修改地址失败",""
"passed","Sat Apr 02 17:34:46 CST 2022","Sat Apr 02 17:34:48 CST 2022","1671","main","testmain","TestMain","","","错误URL查询商品详情失败",""
"passed","Sat Apr 02 17:36:23 CST 2022","Sat Apr 02 17:36:26 CST 2022","2641","main","testmain","TestMain","","","未登录状态编辑购物车失败",""
"passed","Sat Apr 02 17:33:58 CST 2022","Sat Apr 02 17:33:59 CST 2022","796","main","testmain","TestMain","","","输入错误请求方式查询失败POST",""
"passed","Sat Apr 02 17:40:27 CST 2022","Sat Apr 02 17:40:30 CST 2022","3167","main","testmain","TestMain","","","错误的请求方式提交订单失败（GET）",""
"passed","Sat Apr 02 17:42:12 CST 2022","Sat Apr 02 17:42:13 CST 2022","805","main","testmain","TestMain","","","错误参数请求方式签到失败application/json",""
"passed","Sat Apr 02 17:49:15 CST 2022","Sat Apr 02 17:49:16 CST 2022","790","main","testmain","TestMain","","","无参数兑换失败",""
"passed","Sat Apr 02 17:35:48 CST 2022","Sat Apr 02 17:35:52 CST 2022","3783","main","testmain","TestMain","","","goodsid参数丢失新增失败",""
"broken","Sat Apr 02 17:55:14 CST 2022","Sat Apr 02 17:56:15 CST 2022","60793","main","testmain","TestMain","","","无请求参数查询失败",""
"passed","Sat Apr 02 17:43:51 CST 2022","Sat Apr 02 17:43:54 CST 2022","3005","main","testmain","TestMain","","","错误的请求方式获取验证码失败",""
"passed","Sat Apr 02 17:34:29 CST 2022","Sat Apr 02 17:34:30 CST 2022","800","main","testmain","TestMain","","","错误请求方式DELETE查询路由失败",""
"passed","Sat Apr 02 17:34:44 CST 2022","Sat Apr 02 17:34:46 CST 2022","1654","main","testmain","TestMain","","","输入正确信息查询商品详情成功",""
"passed","Sat Apr 02 17:48:27 CST 2022","Sat Apr 02 17:48:28 CST 2022","1566","main","testmain","TestMain","","","错误的参数请求类型兑换失败multipart/form-data",""
"failed","Sat Apr 02 17:39:34 CST 2022","Sat Apr 02 17:39:37 CST 2022","3200","main","testmain","TestMain","","","使用已使用couponsid提交订单失败",""
"passed","Sat Apr 02 17:34:02 CST 2022","Sat Apr 02 17:34:03 CST 2022","781","main","testmain","TestMain","","","输入正确信息查询成功",""
"passed","Sat Apr 02 17:39:19 CST 2022","Sat Apr 02 17:39:21 CST 2022","1568","main","testmain","TestMain","","","错误参数请求类型删除地址失败multipart/form-data",""
"broken","Sat Apr 02 17:56:15 CST 2022","Sat Apr 02 17:57:16 CST 2022","60826","main","testmain","TestMain","","","参数ID为空查询失败",""
"passed","Sat Apr 02 17:49:34 CST 2022","Sat Apr 02 17:49:35 CST 2022","795","main","testmain","TestMain","","","错误请求方式POST获取通知列表失败",""
"passed","Sat Apr 02 17:49:42 CST 2022","Sat Apr 02 17:49:43 CST 2022","1051","main","testmain","TestMain","","","未登录状态查询成功",""
"passed","Sat Apr 02 17:37:11 CST 2022","Sat Apr 02 17:37:13 CST 2022","2379","main","testmain","TestMain","","","错误请求方式批量删除购物车商品失败（PUT）",""
"passed","Sat Apr 02 17:49:12 CST 2022","Sat Apr 02 17:49:13 CST 2022","1040","main","testmain","TestMain","","","未登录状态兑换失败",""
"passed","Sat Apr 02 17:37:57 CST 2022","Sat Apr 02 17:37:58 CST 2022","805","main","testmain","TestMain","","","参数erea2参数长度超过限制新增失败",""
"passed","Sat Apr 02 17:34:55 CST 2022","Sat Apr 02 17:34:55 CST 2022","788","main","testmain","TestMain","","","无参数查询商品详情失败",""
"passed","Sat Apr 02 17:38:01 CST 2022","Sat Apr 02 17:38:02 CST 2022","784","main","testmain","TestMain","","","参数请求类型错误新增失败multipart/form-data",""
"passed","Sat Apr 02 17:49:09 CST 2022","Sat Apr 02 17:49:09 CST 2022","779","main","testmain","TestMain","","","错误的请求类型失败application/x-www-form-urlencoded",""
"passed","Sat Apr 02 17:37:33 CST 2022","Sat Apr 02 17:37:34 CST 2022","784","main","testmain","TestMain","","","请求方式错误查询失败（POST）",""
"passed","Sat Apr 02 17:49:41 CST 2022","Sat Apr 02 17:49:42 CST 2022","778","main","testmain","TestMain","","","错误的URL查询失败",""
"passed","Sat Apr 02 17:34:35 CST 2022","Sat Apr 02 17:34:35 CST 2022","786","main","testmain","TestMain","","","使用错误的请求方式DELETE查询失败",""
"passed","Sat Apr 02 17:35:37 CST 2022","Sat Apr 02 17:35:41 CST 2022","3677","main","testmain","TestMain","","","count参数为空新增失败",""
"passed","Sat Apr 02 17:47:56 CST 2022","Sat Apr 02 17:47:57 CST 2022","794","main","testmain","TestMain","","","错误的请求方式DELETE查询失败",""
